Country,City,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Kenya,Makueni,,,,,,
Uruguay,Maldonado,,,,,,
Philippines,Mandaue,,,,,,
Kenya,Mandera,,,,,,
India,Mandla,,,,,,
Mexico,Maneadero,,,,,,
Romania,Mangalia,,,,,,
India,Manihari,,,,,,
Spain,Manlleu,,,,,,
Brazil,Marataizes,,,,,,
Germany,Marburg,,,,,,
Peru,Marcona,,,,,,
Mexico,Marfil,,,,,,
Netherlands,Margraten,,,,,,
India,Khatra,,,,,,
Sweden,Kinna,,,,,,
Germany,Kirchhundem,,,,,,
United States of America,Kirksville,,,,,,
Japan,Kisarazu,,,,,,
United States of America,Kittery,,,,,,
Poland,Kluczbork,,,,,,
India,Kodumudi,,,,,,
Russian Federation,Kolpashevo,,,,,,
Russian Federation,Kolyvan,,,,,,
Japan,Komono,,,,,,
Japan,Konan,,,,,,
Germany,Konigstein,,,,,,
Germany,Korbach,,,,,,
C̫te d'Ivoire,Korhogo,,,,,,
Thailand,Kosum Phisai,,,,,,
India,Kot Putli,,,,,,
Finland,Kouvola,,,,,,
Germany,Kreuztal,,,,,,
Poland,Krosno,,,,,,
Malaysia,Kuala Terengganu,,,,,,
Japan,Kumagaya,,,,,,
Sweden,Kungsbacka,,,,,,
Jordan,Kuraymah,,,,,,
Russian Federation,Kurganinsk,,,,,,
Switzerland,La Chaux De Fonds,,,,,,
Spain,La Roda,,,,,,
Dominican Republic,La Vega,,,,,,
United Republic of Tanzania,Laela,,,,,,
Finland,Ilmajoki,,,,,,
Turkey,Inegol,,,,,,
Brazil,Ipameri,,,,,,
Brazil,Ipaussu,,,,,,
Brazil,Itapema,,,,,,
Brazil,Itapetininga,,,,,,
Nigeria,Jalingo,,,,,,
India,Jambusar,,,,,,
India,Jha Jha,,,,,,
China,Jiaocheng,,,,,,
China,Jiaozuo,,,,,,
China,Jinchengjiang,,,,,,
Brazil,Jitauna,,,,,,
China,Jixi,,,,,,
United States of America,Joliet,,,,,,
Iran (Islamic Republic of),Juybar,,,,,,
Sudan,Kaduqli,,,,,,
Greece,Kaisariani,,,,,,
Unknown,Kaizuka,,,,,,
Japan,Kakamigahara,,,,,,
Russian Federation,Kalininskaya,,,,,,
Unknown,Kamal,,,,,,
Thailand,Kamalasai,,,,,,
India,Kanchipuram,,,,,,
India,Kankavli,,,,,,
India,Kanke,,,,,,
India,Karmala,,,,,,
India,Kasganj,,,,,,
Japan,Kashiwazaki,,,,,,
Iran (Islamic Republic of),Kazerun,,,,,,
Germany,Kehl,,,,,,
India,Kendrapara,,,,,,
United States of America,Kenmore,,,,,,
India,Khagaria,,,,,,
Philippines,Ramon,,,,,,
Brazil,Raul Soares,,,,,,
Israel,Reine,,,,,,
Ukraine,Reni,,,,,,
Germany,Rheine,,,,,,
Brazil,Riachao Das Neves,,,,,,
Czechia,Ricany,,,,,,
Senegal,Richard Toll,,,,,,
Netherlands,Rijnsburg,,,,,,
United States of America,Ringwood,,,,,,
