Country,City,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
France,Champigny Sur Marne,,,,,,
Mexico,Chetumal,,,,,,
India,Chhata,,,,,,
Chile,Chimbarongo,,,,,,
Zambia,Chinsali,,,,,,
Japan,Chofu,,,,,,
France,Cholet,,,,,,
China,Choucheng,,,,,,
Burundi,Cibitoke,,,,,,
Indonesia,Ciledug,,,,,,
Italy,Cinisello Balsamo,,,,,,
Italy,Civitavecchia,,,,,,
France,Clermont Ferrand,,,,,,
Germany,Cleves,,,,,,
United States of America,Clifton,,,,,,
Ireland,Clonmel,,,,,,
Kenya,Taveta,,,,,,
Philippines,Tayug,,,,,,
Romania,Tecuci,,,,,,
United States of America,Tehachapi,,,,,,
Guinea,Telimele,,,,,,
Japan,Tendo,,,,,,
Canada,Terrace,,,,,,
Lesotho,Teyateyaneng,,,,,,
South Africa,Thaba Nchu,,,,,,
United States of America,The Woodlands,,,,,,
Greece,Thermi,,,,,,
Greece,Thessaloniki,,,,,,
United States of America,Thousand Oaks,,,,,,
Israel,Tirat Karmel,,,,,,
India,Tiruvannamalai,,,,,,
Japan,Tokuyama,,,,,,
Japan,Tomakomai,,,,,,
Russian Federation,Uren,,,,,,
Japan,Ushiku,,,,,,
Russian Federation,Ust Dzheguta,,,,,,
France,Valbonne,,,,,,
Portugal,Valongo,,,,,,
Romania,Vaslui,,,,,,
Portugal,Vendas Novas,,,,,,
Ecuador,Ventanas,,,,,,
Haiti,Verrettes,,,,,,
South Sudan,Tonj,,,,,,
United States of America,Topeka,,,,,,
Russian Federation,Toropets,,,,,,
Mexico,Tototlan,,,,,,
Argentina,Trelew,,,,,,
Brazil,Tres De Maio,,,,,,
Russian Federation,Troitskiy,,,,,,
United States of America,Trotwood,,,,,,
Algeria,Tuggurt,,,,,,
Trinidad and Tobago,Tunapuna,,,,,,
Colombia,Tunja,,,,,,
Colombia,Turbo,,,,,,
Indonesia,Ubud,,,,,,
India,Ujhani,,,,,,
Indonesia,Sunggal,,,,,,
Tunisia,Susah,,,,,,
Poland,Suwalki,,,,,,
Ghana,Swedru,,,,,,
Sudan,Tabat,,,,,,
India,Tadepalle,,,,,,
China,Tahe,,,,,,
India,Takhatpur,,,,,,
India,Talcher,,,,,,
United States of America,Tallmadge,,,,,,
Japan,Tamana,,,,,,
Brazil,Taquara,,,,,,
Libya,Tarhunah,,,,,,
Italy,Tarquinia,,,,,,
Hungary,Tatabanya,,,,,,
Brazil,Olinda,,,,,,
Israel,Or Yehuda,,,,,,
Romania,Orastie,,,,,,
Sweden,Orebro,,,,,,
Greece,Orestias,,,,,,
Czechia,Orlova,,,,,,
Philippines,Ormoc,,,,,,
United Kingdom of Great Britain and Northern Ireland,Ormskirk,,,,,,
