Country,City,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Philippines,Bayugan,,,,,,
Portugal,Arrentela,,,,,,
India,Asansol,,,,,,
Russian Federation,Astrakhan,,,,,,
Portugal,Aveiro,,,,,,
Mauritania,Bababe,,,,,,
Cameroon,Bafut,,,,,,
United States of America,Carol Stream,,,,,,
France,Carquefou,,,,,,
Italy,Cerea,,,,,,
Italy,Cerro Maggiore,,,,,,
United Republic of Tanzania,Chalinze,,,,,,
United States of America,Brownsburg,,,,,,
Netherlands,Bunschoten,,,,,,
Viet Nam,Buon Me Thuot,,,,,,
Poland,Busko Zdroj,,,,,,
Brazil,Cabrobo,,,,,,
Brazil,Cafelandia,,,,,,
United States of America,Richmond Heights,,,,,,
United States of America,Rio Linda,,,,,,
Russian Federation,Plavsk,,,,,,
United States of America,Poplar Bluff,,,,,,
Unknown,Porec,,,,,,
Italy,Pozzuoli,,,,,,
Switzerland,Prilly,,,,,,
India,Pudukkottai,,,,,,
Italy,Pulsano,,,,,,
Belgium,Putte,,,,,,
Nicaragua,Quilali,,,,,,
Germany,Raesfeld,,,,,,
Ukraine,Rakhiv,,,,,,
Nigeria,Otukpo,,,,,,
United States of America,Pacifica,,,,,,
Philippines,Parang,,,,,,
Germany,Peine,,,,,,
Ukraine,Shchors,,,,,,
Russian Federation,Shilka,,,,,,
Japan,Shobu,,,,,,
Lao People's Democratic Republic,Si Chiang Mai,,,,,,
Brazil,Sidrolandia,,,,,,
India,Sikar,,,,,,
India,Sindhnur,,,,,,
Switzerland,Aesch,,,,,,
Azerbaijan,Agsu,,,,,,
India,Ajra,,,,,,
Nigeria,Akure,,,,,,
Iran (Islamic Republic of),Alashtar,,,,,,
United Kingdom of Great Britain and Northern Ireland,Grays,,,,,,
United States of America,Greensburg,,,,,,
Russian Federation,Gremyachinsk,,,,,,
Germany,Grimma,,,,,,
Venezuela (Bolivarian Republic of),Guigue,,,,,,
India,Haflong,,,,,,
Hungary,Hajduszoboszlo,,,,,,
Denmark,Hjorring,,,,,,
Germany,Horstel,,,,,,
Germany,Hovelhof,,,,,,
China,Huicheng,,,,,,
Finland,Hyvinkaa,,,,,,
United Republic of Tanzania,Iguguno,,,,,,
Nigeria,Ijero,,,,,,
Brazil,Ijui,,,,,,
United States of America,Iowa City,,,,,,
India,Irinjalakuda,,,,,,
Egypt,Ismailia,,,,,,
Zambia,Isoka,,,,,,
Brazil,Itatinga,,,,,,
Brazil,Itirucu,,,,,,
Brazil,Jaragua Do Sul,,,,,,
Unknown,Jibuti,,,,,,
Saudi Arabia,Jizan,,,,,,
India,Kadiri,,,,,,
Netherlands,Kapelle,,,,,,
India,Karjat,,,,,,
Uganda,Kasese,,,,,,
Germany,Kaufungen,,,,,,
India,Kanodar,,,,,,
Japan,Kariya,,,,,,
Japan,Kashiwara,,,,,,
Ghana,Keta,,,,,,
Benin,Ketou,,,,,,
Unknown,Oxelosund,,,,,,
Bangladesh,Pabna,,,,,,
Italy,Paese,,,,,,
Cuba,Palma Soriano,,,,,,
United States of America,Pampa,,,,,,
United States of America,Orland Park,,,,,,
United States of America,Park Ridge,,,,,,
Russian Federation,Petrovskaya,,,,,,
United States of America,Schenectady,,,,,,
Switzerland,Schlieren,,,,,,
Italy,Segrate,,,,,,
Malaysia,Sekudai,,,,,,
Japan,Sendai,,,,,,
India,Naregal,,,,,,
Uzbekistan,Navoi,,,,,,
Russian Federation,Nikolsko Arkhangelskiy,,,,,,
India,Noamundi,,,,,,
United States of America,North Andover,,,,,,
Italy,Noto,,,,,,
Togo,Notse,,,,,,
Brazil,Novo Oriente,,,,,,
Ukraine,Novoukrayinka,,,,,,
Tajikistan,Obigarm,,,,,,
United States of America,Ocala,,,,,,
United States of America,Okmulgee,,,,,,
Germany,Wernigerode,,,,,,
Germany,Westerkappeln,,,,,,
United States of America,White Plains,,,,,,
Thailand,Wiang Sa,,,,,,
United States of America,Windham,,,,,,
Germany,Wurzen,,,,,,
China,Xinan,,,,,,
Germany,Viernheim,,,,,,
United States of America,Villa Rica,,,,,,
Dominican Republic,Villa Vazquez,,,,,,
Russian Federation,Vrangel,,,,,,
France,Sarreguemines,,,,,,
Germany,Schiffdorf,,,,,,
India,Shantipur,,,,,,
Japan,Shinichi,,,,,,
United States of America,Shorewood,,,,,,
United Republic of Tanzania,Singida,,,,,,
India,Sirur,,,,,,
India,Sitamau,,,,,,
Russian Federation,Siverskiy,,,,,,
