Country,City,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
India,Thanjavur,,,,,,
Thailand,Thanyaburi,,,,,,
United States of America,Tifton,,,,,,
Botswana,Maun,,,,,,
Germany,Mengen,,,,,,
United States of America,Middle Valley,,,,,,
India,Minjur,,,,,,
Belarus,Minsk,,,,,,
Spain,Miranda De Ebro,,,,,,
India,Mirik,,,,,,
Russian Federation,Mirnyy,,,,,,
Nigeria,Modakeke,,,,,,
Mexico,Momoxpan,,,,,,
Liberia,Monrovia,,,,,,
Italy,Monte San Pietro,,,,,,
France,Montreuil,,,,,,
Unknown,Vila Real De Santo Antonio,,,,,,
France,Villeneuve La Garenne,,,,,,
Germany,Vilshofen,,,,,,
Republic of North Macedonia,Vinica,,,,,,
Italy,Virgilio,,,,,,
Brazil,Vitoria De Santo Antao,,,,,,
Togo,Vogan,,,,,,
Netherlands,Voorschoten,,,,,,
Unknown,Vung Tau,,,,,,
India,Wadi,,,,,,
Poland,Wagrowiec,,,,,,
United States of America,Wanaque,,,,,,
United States of America,Waterville,,,,,,
Indonesia,Wates,,,,,,
Belgium,Tournai,,,,,,
United States of America,Trussville,,,,,,
Poland,Trzebinia,,,,,,
Japan,Tsuruoka,,,,,,
Colombia,Tumaco,,,,,,
Colombia,Turbaco,,,,,,
United States of America,Tyler,,,,,,
Sudan,Umm Kaddadah,,,,,,
Unknown,Umm Lajj,,,,,,
Sweden,Upplands Vasby,,,,,,
Colombia,Urrao,,,,,,
Brazil,Valenca Do Piaui,,,,,,
Colombia,Valledupar,,,,,,
Philippines,Vallehermoso,,,,,,
Italy,Valmadrera,,,,,,
Italy,Venafro,,,,,,
Brazil,Veranopolis,,,,,,
Russian Federation,Vereshchagino,,,,,,
India,Thakurdwara,,,,,,
Hungary,Tiszakecske,,,,,,
Japan,Togane,,,,,,
United States of America,Tolland,,,,,,
United States of America,Laplace,,,,,,
Brazil,Laranjeiras,,,,,,
United States of America,Leawood,,,,,,
Italy,Licata,,,,,,
China,Liling,,,,,,
India,Limbdi,,,,,,
Canada,Lindsay,,,,,,
India,Lingsugur,,,,,,
Senegal,Linguere,,,,,,
Australia,Lithgow,,,,,,
France,Livry Gargan,,,,,,
Russian Federation,Lodeynoye Pole,,,,,,
United States of America,Logan,,,,,,
France,Longjumeau,,,,,,
France,Loos,,,,,,
Ukraine,Lozova,,,,,,
Indonesia,Lumajang,,,,,,
Zambia,Lundazi,,,,,,
India,Maghar,,,,,,
India,Makhu,,,,,,
Nigeria,Malumfashi,,,,,,
Unknown,Mamoudzou,,,,,,
United States of America,Manhattan Beach,,,,,,
India,Manjeri,,,,,,
United States of America,Manville,,,,,,
United States of America,Maple Shade,,,,,,
Brazil,Maravilha,,,,,,
Iran (Islamic Republic of),Khorramshahr,,,,,,
Malaysia,Klang,,,,,,
United Republic of Tanzania,Kondoa,,,,,,
Croatia,Koprivnica,,,,,,
Japan,Koriyama,,,,,,
Belgium,Kortemark,,,,,,
Poland,Koscierzyna,,,,,,
Malaysia,Kota Tinggi,,,,,,
India,Kandla,,,,,,
Malaysia,Kapit,,,,,,
India,Kapurthala,,,,,,
Croatia,Karlovac,,,,,,
Uzbekistan,Karmana,,,,,,
Nigeria,Kaura Namoda,,,,,,
United Republic of Tanzania,Kayanga,,,,,,
Malaysia,Keningau,,,,,,
Bangladesh,Khagrachari,,,,,,
India,Khairabad,,,,,,
Unknown,Khalkis,,,,,,
Thailand,Khanu Woralaksaburi,,,,,,
