Country,City,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
United States of America,Lewiston,,,,,,
France,Lomme,,,,,,
Poland,Lubaczow,,,,,,
Egypt,Luxor,,,,,,
Finland,Aanekoski,,,,,,
Nigeria,Abakaliki,,,,,,
Portugal,Agueda,,,,,,
Australia,Albury,,,,,,
Russian Federation,Alekseyevka,,,,,,
India,Alipur Duar,,,,,,
Germany,Altdorf,,,,,,
Mozambique,Angoche,,,,,,
Belgium,Arlon,,,,,,
India,Attur,,,,,,
China,Dezhou,,,,,,
Niger,Dogondoutchi,,,,,,
Netherlands,Eibergen,,,,,,
Afghanistan,Eskasem,,,,,,
Sweden,Eslov,,,,,,
France,Evry,,,,,,
United States of America,Flower Mound,,,,,,
United States of America,Fort Madison,,,,,,
Argentina,General Roca,,,,,,
France,Cluses,,,,,,
United States of America,Collierville,,,,,,
France,Colomiers,,,,,,
France,Cran Gevrier,,,,,,
Brazil,Cravinhos,,,,,,
United States of America,Culpeper,,,,,,
Pakistan,Mankera,,,,,,
France,Marcq En Baroeul,,,,,,
South Africa,Graaff Reinet,,,,,,
United States of America,Hagerstown,,,,,,
China,Handan,,,,,,
Australia,Hervey Bay,,,,,,
India,Jamtara,,,,,,
Indonesia,Jeluko,,,,,,
Indonesia,Kadipaten,,,,,,
India,Kalyani,,,,,,
Slovenia,Kamnik,,,,,,
United States of America,Hillcrest Heights,,,,,,
Finland,Hollola,,,,,,
Democratic Republic of the Congo,Ilebo,,,,,,
Germany,Schleiden,,,,,,
Switzerland,Schwyz,,,,,,
Germany,Sendenhorst,,,,,,
Pakistan,Sanghar,,,,,,
Brazil,Santa Maria,,,,,,
Brazil,Santa Rosa De Viterbo,,,,,,
India,Someshwar,,,,,,
Netherlands,Son En Breugel,,,,,,
France,Stains,,,,,,
United States of America,Sturgis,,,,,,
Poland,Sulejowek,,,,,,
Uganda,Kiboga,,,,,,
Hungary,Kormend,,,,,,
Russian Federation,Koryazhma,,,,,,
Turkey,Kozan,,,,,,
Unknown,Kramat,,,,,,
Netherlands,Langedijk,,,,,,
United States of America,Lathrop,,,,,,
Germany,Aalen,,,,,,
Yemen,Aden,,,,,,
Ecuador,Alausi,,,,,,
United States of America,Amherst,,,,,,
Netherlands,Apeldoorn,,,,,,
Russian Federation,Davlekanovo,,,,,,
United States of America,Dearborn,,,,,,
India,Dharangaon,,,,,,
India,Dondaicha,,,,,,
Netherlands,Epe,,,,,,
United States of America,Federal Way,,,,,,
Democratic Republic of the Congo,Kikwit,,,,,,
Sweden,Koping,,,,,,
Spain,Lalin,,,,,,
France,Les Lilas,,,,,,
Germany,Lilienthal,,,,,,
Chile,Loncoche,,,,,,
China,Lotung,,,,,,
China,Lushunkou,,,,,,
Chile,La Ligua,,,,,,
United Republic of Tanzania,Magugu,,,,,,
India,Maham,,,,,,
Brazil,Neropolis,,,,,,
United States of America,New Bedford,,,,,,
United States of America,New Britain,,,,,,
United States of America,New Castle,,,,,,
United States of America,North Merrick,,,,,,
Italy,Novellara,,,,,,
United Republic of Tanzania,Nshamba,,,,,,
Mexico,Ocotlan,,,,,,
Venezuela (Bolivarian Republic of),Goaigoaza,,,,,,
Brazil,Goiana,,,,,,
Brazil,Guapimirim,,,,,,
Italy,Guspini,,,,,,
United Republic of Tanzania,Hedaru,,,,,,
China,Hefei,,,,,,
Denmark,Hillerod,,,,,,
Brazil,Ibatiba,,,,,,
Germany,Ibbenburen,,,,,,
Brazil,Igarape,,,,,,
Indonesia,Indramayu,,,,,,
Germany,Itzehoe,,,,,,
China,Jingdezhen,,,,,,
India,Kantabanji,,,,,,
Pakistan,Karak,,,,,,
India,Karnal,,,,,,
Russian Federation,Marks,,,,,,
Pakistan,Mehrabpur,,,,,,
United States of America,Morgantown,,,,,,
Switzerland,Munsingen,,,,,,
Cameroon,Ngaoundere,,,,,,
United States of America,North Miami,,,,,,
United States of America,North New Hyde Park,,,,,,
United States of America,Northview,,,,,,
Pakistan,Okara,,,,,,
Portugal,Oliveira De Azemeis,,,,,,
Nigeria,Oyan,,,,,,
Russian Federation,Polazna,,,,,,
Guatemala,Poptun,,,,,,
United States of America,Prior Lake,,,,,,
India,Rajapur,,,,,,
India,Rambha,,,,,,
India,Yellamanchili,,,,,,
Russian Federation,Yemanzhelinsk,,,,,,
Mexico,Zacualtipan,,,,,,
United Kingdom of Great Britain and Northern Ireland,Farnborough,,,,,,
United States of America,Fayetteville,,,,,,
Romania,Basarabi,,,,,,
South Africa,Colesberg,,,,,,
United States of America,Marinette,,,,,,
Germany,Mayen,,,,,,
United States of America,Metuchen,,,,,,
United States of America,Mountain Home,,,,,,
United Republic of Tanzania,Mtwango,,,,,,
Saudi Arabia,Najran,,,,,,
Thailand,Nakhon Ratchasima,,,,,,
China,Nanchang,,,,,,
India,Milak,,,,,,
Brazil,Mombaca,,,,,,
Italy,Monopoli,,,,,,
Italy,Montignoso,,,,,,
Japan,Aioi,,,,,,
Brazil,Alagoinhas,,,,,,
Venezuela (Bolivarian Republic of),Altagracia De Orituco,,,,,,
Brazil,Altos,,,,,,
Romania,Arad,,,,,,
Brazil,Assis,,,,,,
Mexico,Atlixco,,,,,,
France,Auchel,,,,,,
Italy,Avezzano,,,,,,
Italy,Azzano Decimo,,,,,,
China,Bamiantong,,,,,,
Brazil,Barbalha,,,,,,
Thailand,Bang Mun Nak,,,,,,
Philippines,Bantay,,,,,,
Brazil,Barrinha,,,,,,
Benin,Bassila,,,,,,
Central African Republic,Batangafo,,,,,,
Libya,Benghazi,,,,,,
Germany,Bergheim,,,,,,
India,Bihar,,,,,,
India,Bobbili,,,,,,
Brazil,Brumado,,,,,,
Germany,Buchloe,,,,,,
Italy,Cornaredo,,,,,,
France,Creteil,,,,,,
United States of America,Camden,,,,,,
United States of America,Castro Valley,,,,,,
United States of America,Cayey,,,,,,
India,Chandur Bazar,,,,,,
Germany,Birsfelden,,,,,,
Russian Federation,Blagoveshchenka,,,,,,
Romania,Botosani,,,,,,
Bosnia and Herzegovina,Brcko,,,,,,
India,Chiknayakanhalli,,,,,,
Pakistan,Daur,,,,,,
China,Dengzhou,,,,,,
Belgium,Diepenbeek,,,,,,
Madagascar,Beloha,,,,,,
India,Bhadasar,,,,,,
India,Bilkha,,,,,,
United States of America,Overland Park,,,,,,
Brazil,Pastos Bons,,,,,,
Russian Federation,Petrovsk Zabaykalskiy,,,,,,
Brazil,Piracuruca,,,,,,
Australia,Port Pirie,,,,,,
Colombia,Puerto Boyaca,,,,,,
China,Qidong,,,,,,
Bangladesh,Raypur,,,,,,
South Africa,Reitz,,,,,,
United States of America,Roanoke,,,,,,
Brazil,Rondonopolis,,,,,,
United States of America,Rosemount,,,,,,
Syrian Arab Republic,Salamiyah,,,,,,
Spain,San Pedro Del Pinatar,,,,,,
Germany,Sandhausen,,,,,,
Benin,Athieme,,,,,,
Brazil,Auriflama,,,,,,
Russian Federation,Bachi Yurt,,,,,,
Spain,Bailen,,,,,,
Bangladesh,Bajitpur,,,,,,
Indonesia,Bandar,,,,,,
Russian Federation,Belaya Kalitva,,,,,,
United States of America,Bessemer,,,,,,
Pakistan,Bhag,,,,,,
Brazil,Afogados Da Ingazeira,,,,,,
Spain,Almendralejo,,,,,,
Italy,Alpignano,,,,,,
India,Sayalgudi,,,,,,
Pakistan,Shahpur City,,,,,,
Japan,Shiroishi,,,,,,
Malaysia,Simpang Rengam,,,,,,
Germany,Sinsheim,,,,,,
United States of America,Phillipsburg,,,,,,
United States of America,Pomona,,,,,,
Angola,Soyo,,,,,,
Russian Federation,Starovelichkovskaya,,,,,,
United States of America,Sulphur Springs,,,,,,
Nigeria,Port Harcourt,,,,,,
Serbia,Prijepolje,,,,,,
Tunisia,Qafsah,,,,,,
