Country,City,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
United Republic of Tanzania,Masoko,,,,,,
United Republic of Tanzania,Mbeya,,,,,,
Germany,Meinerzhagen,,,,,,
Philippines,Mendez,,,,,,
Japan,Misato,,,,,,
Italy,Misilmeri,,,,,,
United Republic of Tanzania,Mlimba,,,,,,
India,Modasa,,,,,,
Italy,Montefiascone,,,,,,
Italy,Montelupo Fiorentino,,,,,,
Hungary,Mosonmagyarovar,,,,,,
India,Mudkhed,,,,,,
Turkey,Mus,,,,,,
Brazil,Mutum,,,,,,
Mexico,Nacozari,,,,,,
Morocco,Nador,,,,,,
India,Nagod,,,,,,
Thailand,Nam Phong,,,,,,
India,Nandigama,,,,,,
United States of America,Naperville,,,,,,
Benin,Natitingou,,,,,,
Italy,Nave,,,,,,
Sri Lanka,Nawalapitiya,,,,,,
Netherlands,Neede,,,,,,
China,Nenjiang,,,,,,
Unknown,Nileshwar,,,,,,
China,Ninghai,,,,,,
Cameroon,Nkoteng,,,,,,
United States of America,Northfield,,,,,,
Poland,Nowy Tomysl,,,,,,
Ghana,Nsawam,,,,,,
United Republic of Tanzania,Nyakahanga,,,,,,
Russian Federation,Nytva,,,,,,
Mexico,Oaxaca,,,,,,
Unknown,Obama,,,,,,
France,Oissel,,,,,,
Congo,Owando,,,,,,
Bangladesh,Palang,,,,,,
Philippines,Palayan,,,,,,
India,Paliyad,,,,,,
Unknown,Pattani,,,,,,
Brazil,Pederneiras,,,,,,
Pakistan,Phalia,,,,,,
United States of America,Macon,,,,,,
Burundi,Makamba,,,,,,
United States of America,Kings Park,,,,,,
Hungary,Kisujszallas,,,,,,
United Republic of Tanzania,Kitangari,,,,,,
Japan,Koga,,,,,,
Japan,Komatsushima,,,,,,
Finland,Kotka,,,,,,
Russian Federation,Krasnokamensk,,,,,,
Russian Federation,Krasnokumskoye,,,,,,
India,Kumhari,,,,,,
Peru,La Oroya,,,,,,
Spain,La Solana,,,,,,
Germany,Leinfelden Echterdingen,,,,,,
Russian Federation,Leninogorsk,,,,,,
United States of America,Lenoir,,,,,,
Belgium,Leopoldsburg,,,,,,
China,Liangxiang,,,,,,
United States of America,Libertyville,,,,,,
Zambia,Luanshya,,,,,,
United States of America,Lubbock,,,,,,
United States of America,Lumberton,,,,,,
Germany,Luneburg,,,,,,
United States of America,Macedonia,,,,,,
Kenya,Sirari,,,,,,
India,Sirsilla,,,,,,
India,Sivagiri,,,,,,
Germany,Rosbach,,,,,,
Germany,Rosenheim,,,,,,
Russian Federation,Rossosh,,,,,,
Italy,Rutigliano,,,,,,
Austria,Saalfelden,,,,,,
France,Saint Avold,,,,,,
France,Sainte Genevieve Des Bois,,,,,,
Mexico,San Juan Del Rio,,,,,,
India,Sancoale,,,,,,
Brazil,Santa Cruz Do Rio Pardo,,,,,,
Spain,Santona,,,,,,
Brazil,Sao Domingos Do Maranhao,,,,,,
Brazil,Sao Joao Evangelista,,,,,,
Brazil,Sao Marcos,,,,,,
India,Ranibennur,,,,,,
Argentina,Rio Tercero,,,,,,
Ecuador,Riobamba,,,,,,
Liberia,Robertsport,,,,,,
Italy,Piazza Armerina,,,,,,
Brazil,Pirai,,,,,,
France,Plouzane,,,,,,
Canada,Port Hope,,,,,,
Egypt,Port Said,,,,,,
Unknown,Porto Torres,,,,,,
Indonesia,Purwokerto,,,,,,
France,Puteaux,,,,,,
India,Qadian,,,,,,
India,Ramganj Mandi,,,,,,
Brazil,Gloria Do Goita,,,,,,
India,Godda,,,,,,
Brazil,Governador Valadares,,,,,,
Argentina,Goya,,,,,,
United States of America,Granite City,,,,,,
Austria,Graz,,,,,,
United States of America,Greenbelt,,,,,,
Brazil,Guarabira,,,,,,
Uzbekistan,Guliston,,,,,,
India,Guntakal,,,,,,
Pakistan,Hala,,,,,,
India,Haliyal,,,,,,
Japan,Hamamatsu,,,,,,
Germany,Heinsberg,,,,,,
Netherlands,Helmond,,,,,,
Sri Lanka,Hendala,,,,,,
Germany,Hennigsdorf,,,,,,
Germany,Herford,,,,,,
United States of America,Hopatcong,,,,,,
United States of America,Horsham,,,,,,
China,Huaibei,,,,,,
Brazil,Ibia,,,,,,
India,Idappadi,,,,,,
Germany,Illingen,,,,,,
Spain,Illora,,,,,,
Russian Federation,Irbit,,,,,,
Brazil,Itapipoca,,,,,,
Russian Federation,Ivangorod,,,,,,
Russian Federation,Izhevsk,,,,,,
United States of America,Jacksonville Beach,,,,,,
India,Jalalpur,,,,,,
India,Jaspur,,,,,,
Indonesia,Jatiroto,,,,,,
China,Jiamusi,,,,,,
Romania,Jilava,,,,,,
China,Jimo,,,,,,
Estonia,Johvi,,,,,,
United States of America,Jupiter,,,,,,
Honduras,Juticalpa,,,,,,
China,Kaifeng,,,,,,
Russian Federation,Kamenka,,,,,,
Kenya,Kangundo,,,,,,
Turkey,Karaman,,,,,,
India,Karimganj,,,,,,
India,Kasaragod,,,,,,
Sudan,Kassala,,,,,,
Mali,Kati,,,,,,
Japan,Kawai,,,,,,
Indonesia,Kefamenanu,,,,,,
India,Kenda,,,,,,
United States of America,Kentwood,,,,,,
India,Khambhat,,,,,,
India,Bahsuma,,,,,,
Thailand,Bang Phae,,,,,,
Indonesia,Banyuwangi,,,,,,
France,Bar Le Duc,,,,,,
Brazil,Barreiras,,,,,,
China,Beihai,,,,,,
India,Bellary,,,,,,
India,Belur,,,,,,
Croatia,Bjelovar,,,,,,
Russian Federation,Bogoroditsk,,,,,,
Brazil,Bom Despacho,,,,,,
Russian Federation,Bor,,,,,,
Republic of North Macedonia,Bosilovo,,,,,,
Central African Republic,Bouca,,,,,,
South Africa,Bredasdorp,,,,,,
Netherlands,Brummen,,,,,,
Spain,Calatayud,,,,,,
Italy,Campiglia Marittima,,,,,,
Cuba,Cardenas,,,,,,
Brazil,Carlos Chagas,,,,,,
France,Carrieres Sous Poissy,,,,,,
Brazil,Cassia,,,,,,
India,Chalala,,,,,,
India,Chamba,,,,,,
Cuba,Chambas,,,,,,
China,Changde,,,,,,
United Republic of Tanzania,Chanika,,,,,,
India,Charkhi Dadri,,,,,,
France,Chateau Gontier,,,,,,
France,Chaville,,,,,,
Russian Federation,Chelyabinsk 40,,,,,,
India,Cherrapunji,,,,,,
Peru,Chicama,,,,,,
Colombia,Circasia,,,,,,
United States of America,Citrus Park,,,,,,
El Salvador,Ciudad Arce,,,,,,
India,Clement Town,,,,,,
United Kingdom of Great Britain and Northern Ireland,Aberdare,,,,,,
Russian Federation,Achkhoy Martan,,,,,,
Italy,Albano Laziale,,,,,,
Italy,Anguillara Sabazia,,,,,,
United States of America,Apple Valley,,,,,,
Mexico,Ario,,,,,,
Greece,Arta,,,,,,
Belgium,Asse,,,,,,
Japan,Eniwa,,,,,,
South Africa,Ermelo,,,,,,
Russian Federation,Ertil,,,,,,
Germany,Eschborn,,,,,,
Cameroon,Eseka,,,,,,
Brazil,Estreito,,,,,,
United States of America,Euless,,,,,,
Unknown,Exmouth,,,,,,
Sweden,Solna,,,,,,
Portugal,Fafe,,,,,,
Colombia,Sonson,,,,,,
Morocco,Fez,,,,,,
Turkey,Sorgun,,,,,,
United States of America,Speedway,,,,,,
United States of America,State College,,,,,,
Tunisia,Subaytilah,,,,,,
Unknown,Gaeta,,,,,,
United Kingdom of Great Britain and Northern Ireland,Gainsborough,,,,,,
Indonesia,Gamping,,,,,,
Germany,Ganderkesee,,,,,,
France,Gap,,,,,,
Brazil,Garca,,,,,,
Armenia,Gavar,,,,,,
Germany,Gengenbach,,,,,,
Germany,Gernsbach,,,,,,
India,Giddalur,,,,,,
Philippines,Davao,,,,,,
France,Dax,,,,,,
Netherlands,Deventer,,,,,,
India,Dhamnod,,,,,,
Brazil,Dois Corregos,,,,,,
Romania,Draganesti Olt,,,,,,
Russian Federation,Drezna,,,,,,
Republic of Moldova,Drochia,,,,,,
Venezuela (Bolivarian Republic of),El Tocuyo,,,,,,
Germany,Emsdetten,,,,,,
France,Compiegne,,,,,,
United States of America,Coram,,,,,,
Italy,Correggio,,,,,,
Turkey,Corum,,,,,,
United States of America,Council Bluffs,,,,,,
Brazil,Custodia,,,,,,
Azerbaijan,Saray,,,,,,
Germany,Schwelm,,,,,,
Brazil,Serrinha,,,,,,
United States of America,Severn,,,,,,
Italy,Imola,,,,,,
Japan,Inuyama,,,,,,
Brazil,Ipero,,,,,,
Brazil,Itacoatiara,,,,,,
Czechia,Jesenik,,,,,,
Brazil,Jucas,,,,,,
India,Junagadh,,,,,,
Pakistan,Kahuta,,,,,,
Japan,Kakuda,,,,,,
Pakistan,Kalat,,,,,,
Serbia,Kaluderica,,,,,,
India,Kankon,,,,,,
United Republic of Tanzania,Katoro,,,,,,
Switzerland,Hinwil,,,,,,
Germany,Hunxe,,,,,,
India,Khed Brahma,,,,,,
Germany,Kirchlinteln,,,,,,
Poland,Klobuck,,,,,,
Japan,Kodama,,,,,,
Turkey,Korfez,,,,,,
India,Kosamba,,,,,,
United States of America,Shenandoah,,,,,,
China,Shenxian,,,,,,
Japan,Shiki,,,,,,
South Africa,Kriel,,,,,,
China,Shuiji,,,,,,
Thailand,Si Satchanalai,,,,,,
Guinea,Siguiri,,,,,,
United Republic of Tanzania,Kyaka,,,,,,
Spain,La Puebla De Cazalla,,,,,,
Indonesia,Labuhan,,,,,,
Belgium,Sint Genesius Rode,,,,,,
India,Siolim,,,,,,
India,Sirmaur,,,,,,
India,Laharpur,,,,,,
United States of America,Lake Shore,,,,,,
Russian Federation,Skovorodino,,,,,,
Serbia,Smederevska Palanka,,,,,,
Greece,Lamia,,,,,,
Germany,Langen,,,,,,
Viet Nam,Lao Cai,,,,,,
Philippines,Laoag,,,,,,
Mexico,Laredo,,,,,,
Germany,Leonberg,,,,,,
France,Les Pavillons Sous Bois,,,,,,
Italy,Leverano,,,,,,
India,Narwar,,,,,,
Russian Federation,Nevyansk,,,,,,
United States of America,New Philadelphia,,,,,,
New Zealand,New Plymouth,,,,,,
India,Neyyattinkara,,,,,,
Indonesia,Nganjuk,,,,,,
Germany,Nidda,,,,,,
Japan,Nihommatsu,,,,,,
United States of America,North Berwick,,,,,,
Burkina Faso,Nouna,,,,,,
Brazil,Nova Prata,,,,,,
Russian Federation,Novokuznetsk,,,,,,
Unknown,Nuevitas,,,,,,
Japan,Obihiro,,,,,,
Germany,Oerlinghausen,,,,,,
United States of America,Oil City,,,,,,
Netherlands,Oisterwijk,,,,,,
Germany,Erlensee,,,,,,
United States of America,Escondido,,,,,,
Mexico,Ezequiel Montes,,,,,,
United States of America,Fair Oaks,,,,,,
United States of America,Fairview Shores,,,,,,
India,Faridpur,,,,,,
Brazil,Franco Da Rocha,,,,,,
United States of America,Freeport,,,,,,
China,Fujin,,,,,,
Japan,Fukagawa,,,,,,
Brazil,Fundao,,,,,,
China,Fushan,,,,,,
Germany,Gardelegen,,,,,,
Israel,Gedera,,,,,,
Spain,Getafe,,,,,,
Italy,Gioia Del Colle,,,,,,
United States of America,Dallas,,,,,,
Iran (Islamic Republic of),Damavand,,,,,,
Turkmenistan,Dasoguz,,,,,,
Philippines,Del Pilar,,,,,,
Netherlands,Denekamp,,,,,,
Bangladesh,Dhamrai,,,,,,
Russian Federation,Dmitrov,,,,,,
Germany,Donaueschingen,,,,,,
Brazil,Dores Do Indaia,,,,,,
United Kingdom of Great Britain and Northern Ireland,Droylsden,,,,,,
China,Ducheng,,,,,,
United States of America,East Chicago,,,,,,
Greece,Edessa,,,,,,
Hungary,Eger,,,,,,
Spain,El Viso Del Alcor,,,,,,
United States of America,Rancho Cordova,,,,,,
India,Raurkela,,,,,,
Italy,Recanati,,,,,,
China,Renqiu,,,,,,
Republic of Moldova,Rezina,,,,,,
United States of America,Richfield,,,,,,
Netherlands,Rijssen,,,,,,
Philippines,Placer,,,,,,
Spain,Pozoblanco,,,,,,
China,Qingyuan,,,,,,
Israel,Qiryat Ono,,,,,,
Germany,Quedlinburg,,,,,,
South Africa,Queenstown,,,,,,
Azerbaijan,Qusar,,,,,,
India,Rahimatpur,,,,,,
United States of America,Ontario,,,,,,
Spain,Orihuela,,,,,,
Germany,Ottobrunn,,,,,,
Mexico,Pabellon De Arteaga,,,,,,
Cyprus,Pafos,,,,,,
United States of America,Palestine,,,,,,
United States of America,Palm City,,,,,,
United States of America,Palmer,,,,,,
Pakistan,Pattoki,,,,,,
India,Pedana,,,,,,
Russian Federation,Petrov Val,,,,,,
India,Banda,,,,,,
Iran (Islamic Republic of),Baneh,,,,,,
Colombia,Barbosa,,,,,,
Brazil,Barra Mansa,,,,,,
Japan,Ashikaga,,,,,,
Italy,Atessa,,,,,,
United States of America,Atlantic Beach,,,,,,
Romania,Avrig,,,,,,
China,Babu,,,,,,
Germany,Bad Wildungen,,,,,,
Mexico,Altepexi,,,,,,
Indonesia,Ambon,,,,,,
Brazil,Americana,,,,,,
Peru,Andahuaylas,,,,,,
Turkey,Solhan,,,,,,
Russian Federation,Somovo,,,,,,
Canada,Sorel,,,,,,
United States of America,South Saint Paul,,,,,,
India,Sriperumbudur,,,,,,
Russian Federation,Strelna,,,,,,
Czechia,Studenka,,,,,,
Germany,Stuhr,,,,,,
Brazil,Uniao Da Victoria,,,,,,
Russian Federation,Uvarovo,,,,,,
Bolivia (Plurinational State of),Uyuni,,,,,,
India,Valavanur,,,,,,
Unknown,Valvedditturai,,,,,,
Russian Federation,Velikiy Novgorod,,,,,,
Greece,Veroia,,,,,,
India,Vetapalem,,,,,,
France,Vichy,,,,,,
Italy,Trezzo,,,,,,
Philippines,Tubod,,,,,,
China,Tumen,,,,,,
Hungary,Ujfeherto,,,,,,
India,Tori Fatehpur,,,,,,
Spain,Torrejon De Ardoz,,,,,,
Italy,Tortoli,,,,,,
Brazil,Eusebio,,,,,,
Belgium,Evergem,,,,,,
Iran (Islamic Republic of),Faridan,,,,,,
Tajikistan,Farkhor,,,,,,
United States of America,Fergus Falls,,,,,,
Italy,Erice,,,,,,
Colombia,Guapi,,,,,,
Bosnia and Herzegovina,Gorazde,,,,,,
India,Kotaparh,,,,,,
Indonesia,Kraksaan,,,,,,
Serbia,Kraljevo,,,,,,
Indonesia,Kroya,,,,,,
Malaysia,Kuantan,,,,,,
Japan,Kurashiki,,,,,,
Japan,Kusatsu,,,,,,
Russian Federation,Kyzyl,,,,,,
Unknown,La Ciotat,,,,,,
United States of America,La Grange,,,,,,
Switzerland,Lausanne,,,,,,
Zimbabwe,Marondera,,,,,,
Cuba,Matanzas,,,,,,
Japan,Matsusaka,,,,,,
United Republic of Tanzania,Mbinga,,,,,,
Germany,Merseburg,,,,,,
Spain,Malaga,,,,,,
India,Mancheral,,,,,,
Democratic Republic of the Congo,Mangai,,,,,,
Zambia,Mansa,,,,,,
France,Mantes La Ville,,,,,,
Mexico,Pichucalco,,,,,,
Ecuador,Pinas,,,,,,
Germany,Planegg,,,,,,
Germany,Porta Westfalica,,,,,,
Brazil,Porteirinha,,,,,,
Brazil,Porto Velho,,,,,,
Indonesia,Poso,,,,,,
Russian Federation,Yashkino,,,,,,
China,Zhanjiang,,,,,,
Burkina Faso,Ziniare,,,,,,
Poland,Zlotoryja,,,,,,
Belgium,Zoersel,,,,,,
Niger,Zinder,,,,,,
India,Susner,,,,,,
Namibia,Swakopmund,,,,,,
Niger,Tahoua,,,,,,
China,Taian,,,,,,
Unknown,Takoradi,,,,,,
Mexico,Tamazunchale,,,,,,
Russian Federation,Tambov,,,,,,
India,Taramangalam,,,,,,
Russian Federation,Tatsinskaya,,,,,,
Mexico,Teapa,,,,,,
Mexico,Tekax,,,,,,
Indonesia,Temanggung,,,,,,
Mozambique,Tete,,,,,,
India,Thiruvananthapuram,,,,,,
United Kingdom of Great Britain and Northern Ireland,Thornaby,,,,,,
United States of America,Tinton Falls,,,,,,
Turkey,Tire,,,,,,
Mexico,Tixkokob,,,,,,
Mexico,Tixtla,,,,,,
Mexico,Tlaquiltenango,,,,,,
Japan,Tochio,,,,,,
Indonesia,Weru,,,,,,
United Kingdom of Great Britain and Northern Ireland,West Bromwich,,,,,,
United States of America,Wethersfield,,,,,,
Belgium,Wichelen,,,,,,
Germany,Wiefelstede,,,,,,
Netherlands,Willemstad,,,,,,
United Kingdom of Great Britain and Northern Ireland,Winsford,,,,,,
Netherlands,Winterswijk,,,,,,
China,Wuchang,,,,,,
Greece,Xanthi,,,,,,
Mexico,Xicohtzinco,,,,,,
China,Yaan,,,,,,
Ecuador,Yaguachi,,,,,,
China,Yakeshi,,,,,,
Japan,Fukuroi,,,,,,
United States of America,Fulton,,,,,,
Pakistan,Gambat,,,,,,
India,Gandevi,,,,,,
Georgia,Gardabani,,,,,,
Germany,Garmisch Partenkirchen,,,,,,
India,Gauripur,,,,,,
Unknown,Gelibolu,,,,,,
France,Gennevillers,,,,,,
Iran (Islamic Republic of),Gerash,,,,,,
Japan,Shinjo,,,,,,
India,Sholavandan,,,,,,
Turkey,Silifke,,,,,,
Netherlands,Sint Anthonis,,,,,,
Netherlands,Slochteren,,,,,,
Egypt,Sohag,,,,,,
India,Sardhana,,,,,,
France,Selestat,,,,,,
Russian Federation,Serov,,,,,,
China,Longhua,,,,,,
United States of America,Los Alamos,,,,,,
Unknown,Luis Correia,,,,,,
United Republic of Tanzania,Lukuledi,,,,,,
Switzerland,Lustenau,,,,,,
Brazil,Luzilandia,,,,,,
Slovakia,Michalovce,,,,,,
Russian Federation,Michurinsk,,,,,,
Netherlands,Mierlo,,,,,,
United States of America,Moberly,,,,,,
Russian Federation,Mokshan,,,,,,
Norway,Molde,,,,,,
Italy,Monteprandone,,,,,,
Italy,Morbegno,,,,,,
United States of America,Morganton,,,,,,
Pakistan,Naukot,,,,,,
Pakistan,Nawabshah,,,,,,
C̫te d'Ivoire,Ndiekro,,,,,,
Russian Federation,Nefteyugansk,,,,,,
Germany,Neustrelitz,,,,,,
United States of America,New London,,,,,,
Germany,Niederkruchten,,,,,,
Brazil,Nisia Floresta,,,,,,
Nigeria,Nkwerre,,,,,,
Russian Federation,Noginsk,,,,,,
Czechia,Nove Mesto Na Morave,,,,,,
Bulgaria,Novi Iskar,,,,,,
Iran (Islamic Republic of),Nur,,,,,,
India,Nurmahal,,,,,,
Russian Federation,Oktyabrskoye,,,,,,
Russian Federation,Mozhaysk,,,,,,
Bangladesh,Muktagachha,,,,,,
Brazil,Mundo Novo,,,,,,
India,Muradnagar,,,,,,
Russian Federation,Nalchik,,,,,,
India,Naliya,,,,,,
China,Nanhai,,,,,,
Italy,Vigevano,,,,,,
Brazil,Vitoria,,,,,,
